Accession	luminal protein estrus
Q9EQQ9	5506423.969
P63168	23439531.64
P10639	67418122.54
Q91VM9	1461532.203
O89112	7811171.031
Q8CC86	1195870.531
Q9D892	4203458.609
Q60972	2334299.391
A0A0R4J034	4092796.063
Q60692	17320475.42
Q6P4T2	1228697.328
Q9D1M0	4008562.406
Q64378	2481035.328
P22907	4594639.672
E9PXY8	1770274.617
E9PUD1	789652.7734
Q8BVF2	1521987.039
Q9QZM0	1477512.938
Q6P542	2048416.203
Q925P3	1845254.5
P99026	15144542.22
Q61581	625871.4063
O08738	5388020.164
Q9DCS2	2574614.672
Q8CJ53	2004231.086
P41105	5616492.953
Q99JI6	7303602.016
P11031	8255790.625
P14115	11893344.88
Q62266	2425284.547
P62830	8811972.438
Q91YN5	1396886.109
P98078	672376.5
E9PXX7	1368701.344
P55302	2116538.57
Q3U5Q7	1648175.625
Q9D883	11263813.85
Q62009	3757711.094
P97310	266128.9688
O70251	13550080.19
Q80X50	1146731.703
Q6ZWU9	4878182.125
Q9QYJ0	4565911.719
Q9CZ04	2580882.938
Q9CR57	14134922.45
Q9ET26	1262667.797
O70250	198886.2344
Q61599	7004649.391
Q9D8B3	8945781.477
Q9D7H3	837063.6172
O09167	13886218.84
